x,plus,minus,midpt
0.3958939930597712,3 1,-2 3,16.5
1,3 1,-1 3,17
0.07909664899607433,3 1,0 3,17.5
0.7040877950974451,3 1,1 3,18
0.6634115573191699,3 1,2 3,18.5
1,3 1,3 3,19
1,3 1,4 3,19.5
0.9797254064394368,3 1,5 3,20
0.8573904656343984,3 1,6 3,20.5
0.3311488384510501,3 1,7 3,21
0.002655773762833637,3 1,8 3,21.5
0.9817378504511414,3 1,9 3,22
0.904375811204524,3 1,10 3,22.5
7.017830695470389e-4,3 1,11 3,23
0.4565101930404198,3 1,12 3,23.5
0.016154040893146145,3 1,13 3,24
0.573602831853886,3 1,14 3,24.5
0.9155792205360591,4 1,5 1,10.5
1,4 1,6 1,11
0.09982196860800283,4 1,7 1,11.5
1,4 1,8 1,12
0.9174599025184811,4 1,9 1,12.5
0.5259026042673097,4 1,10 1,13
0.9193444475906694,4 1,11 1,13.5
1.6363343456007694e-4,4 1,12 1,14
0.3915739730037306,4 1,13 1,14.5
1,4 1,14 1,15
0.010812129577387813,4 1,-5 3,15.5
0.4366053778854801,4 1,-4 3,16
0.5344010643745271,4 1,-3 3,16.5
0.3631899175321163,4 1,-2 3,17
1,4 1,-1 3,17.5
0.02635941306146735,4 1,0 3,18
0.6647742642644515,4 1,1 3,18.5
0.6367364832372957,4 1,2 3,19
1,4 1,3 3,19.5
1,4 1,4 3,20
0.9307332884192547,4 1,5 3,20.5
0.8145158248364265,4 1,6 3,21
0.19431421857116082,4 1,7 3,21.5
0.001354186679391,4 1,8 3,22
0.9326450982186781,4 1,9 3,22.5
0.8591516226860778,4 1,10 3,23
1.1290692421712208e-4,4 1,11 3,23.5
0.41565051533518804,4 1,12 3,24
0.010881894288887023,4 1,13 3,24.5
0.5422146960906309,4 1,14 3,25
1,5 1,6 1,11.5
9.698460552985879e-5,5 1,7 1,12
0.7947042713002986,5 1,8 1,12.5
0.6012365470226532,5 1,9 1,13
0.03282554144616735,5 1,10 1,13.5
0.6061917641581672,5 1,11 1,14
0.017091175108543123,5 1,12 1,14.5
0.004478092825181888,5 1,13 1,15
1,5 1,14 1,15.5
1.8138869534099552e-4,5 1,-5 3,16
0.010952109153608672,5 1,-4 3,16.5
0.07772102991990669,5 1,-3 3,17
0.003687439578607011,5 1,-2 3,17.5
1,5 1,-1 3,18
1.341197303828862e-4,5 1,0 3,18.5
0.41735983609138244,5 1,1 3,19
0.3799801294550855,5 1,2 3,19.5
0.8609163973125792,5 1,3 3,20
0.705534054689823,5 1,4 3,20.5
0.6271486268109353,5 1,5 3,21
0.5458823697946119,5 1,6 3,21.5
9.681868391289267e-4,5 1,7 3,22
2.5337707581079254e-4,5 1,8 3,22.5
0.6284368464387823,5 1,9 3,23
0.5834218754401204,5 1,10 3,23.5
2.742437761424359e-4,5 1,11 3,24
0.008958597829856071,5 1,12 3,24.5
1.753284697022945e-4,5 1,13 3,25
0.10957548274915534,5 1,14 3,25.5
0.017424154218869035,6 1,7 1,12.5
1,6 1,8 1,13
0.8246060484797385,6 1,9 1,13.5
0.46101816130849754,6 1,10 1,14
0.8262998633929501,6 1,11 1,14.5
9.791723477455921e-5,6 1,12 1,15
0.3224151720219671,6 1,13 1,15.5
1,6 1,14 1,16
0.0035830750347493,6 1,-5 3,16.5
0.362445422069999,6 1,-4 3,17
0.4770658366225567,6 1,-3 3,17.5
0.1909347789965417,6 1,-2 3,18
1,6 1,-1 3,18.5
0.011022777076143325,6 1,0 3,19
0.6099349595465953,6 1,1 3,19.5
0.5810324382325371,6 1,2 3,20
1,6 1,3 3,20.5
0.9461381765135901,6 1,4 3,21
0.8331099870662937,6 1,5 3,21.5
0.7260964111132392,6 1,6 3,22
0.02730076463494407,6 1,7 3,22.5
1.139926666282888e-4,6 1,8 3,23
0.8348212698334284,6 1,9 3,23.5
0.7534167287206618,6 1,10 3,24
1.6764668847776178e-4,6 1,11 3,24.5
