mc_id,sc_id,age,exposure,treatment,date,day,volume,replacement_volume,volume24,weekday,fecalsamp,hrs_bw_samplingpoints,volume_per_hour,volume24_corr,number of bees
5,1,1,post,100ppb,2020-09-21,7,7.5,,2,Monday,no,19.5,0.102564103,2.461538462,10
5,1,1,post,100ppb,2020-09-22,8,4,13,3.5,Tuesday,yes,24,0.145833333,3.5,10
5,1,1,post,100ppb,2020-09-23,9,9.5,,3.5,Wednesday,no,24,0.145833333,3.5,10
5,1,1,post,100ppb,2020-09-24,10,8,,1.5,Thursday,no,24,0.0625,1.5,10
5,1,1,post,100ppb,2020-09-25,11,5,12.5,3,Friday,no,24,0.125,3,10
5,1,1,post,100ppb,2020-09-26,12,9,,3.5,Saturday,no,28.5,0.122807018,2.947368421,10
5,1,1,post,100ppb,2020-09-27,13,6.5,13,2.5,Sunday,no,19.5,0.128205128,3.076923077,10
5,1,1,post,100ppb,2020-09-28,14,9.5,,3.5,Monday,yes,28.5,0.122807018,2.947368421,10
6,1,1,pre,800ppb,2020-09-08,-6,12.5,,,Tuesday,no,24,,,10
6,1,1,pre,800ppb,2020-09-09,-5,9,,3.5,Wednesday,no,24,0.145833333,3.5,10
6,1,1,pre,800ppb,2020-09-10,-4,5,,4,Thursday,no,24,0.166666667,4,10
6,1,1,pre,800ppb,2020-09-11,-3,0,13,5,Friday,no,24,0.208333333,5,10
6,1,1,pre,800ppb,2020-09-12,-2,8,,5,Saturday,no,28.5,0.175438596,4.210526316,10
6,1,1,pre,800ppb,2020-09-13,-1,2.5,10,5.5,Sunday,no,24,0.229166667,5.5,10
6,1,1,pre,800ppb,2020-09-14,0,8,9.5,2,Monday,yes,19.5,0.102564103,2.461538462,10
6,1,1,during,800ppb,2020-09-15,1,6.5,10,3,Tuesday,no,24,0.125,3,10
6,1,1,during,800ppb,2020-09-16,2,7,10,3,Wednesday,yes,24,0.125,3,10
6,1,1,during,800ppb,2020-09-17,3,7,10,3,Thursday,yes,24,0.125,3,10
6,1,1,during,800ppb,2020-09-18,4,7,9.5,3,Friday,no,24,0.125,3,10
6,1,1,during,800ppb,2020-09-19,5,6,13,3.5,Saturday,yes,24,0.145833333,3.5,10
6,1,1,post,800ppb,2020-09-20,6,11,,2,Sunday,no,28.5,0.070175439,1.684210526,10
6,1,1,post,800ppb,2020-09-21,7,9.5,,1.5,Monday,no,19.5,0.076923077,1.846153846,10
6,1,1,post,800ppb,2020-09-22,8,7.5,13,2,Tuesday,yes,24,0.083333333,2,10
6,1,1,post,800ppb,2020-09-23,9,10,,3,Wednesday,no,24,0.125,3,10
6,1,1,post,800ppb,2020-09-24,10,9.5,,0.5,Thursday,no,24,0.020833333,0.5,10
6,1,1,post,800ppb,2020-09-25,11,7,12.5,2.5,Friday,no,24,0.104166667,2.5,10
6,1,1,post,800ppb,2020-09-26,12,8,,4.5,Saturday,no,28.5,0.157894737,3.789473684,10
6,1,1,post,800ppb,2020-09-27,13,5,13,3,Sunday,no,19.5,0.153846154,3.692307692,10
6,1,1,post,800ppb,2020-09-28,14,10,,3,Monday,yes,28.5,0.105263158,2.526315789,10
7,1,1,pre,Sacrifice,2020-09-08,-6,12.5,,,Tuesday,no,24,,,10
7,1,1,pre,Sacrifice,2020-09-09,-5,8.5,,4,Wednesday,no,24,0.166666667,4,10
7,1,1,pre,Sacrifice,2020-09-10,-4,4.5,,4,Thursday,no,24,0.166666667,4,10
