x,plus,minus,midpt
0.591893629,7 3,10 3,34.5
0.852128626,7 3,11 3,35
1,7 3,12 3,35.5
1,7 3,13 3,36
0.967737078,7 3,14 3,36.5
0.103386827,8 3,9 3,34.5
0.326715209,8 3,10 3,35
1,8 3,11 3,35.5
0.770616091,8 3,12 3,36
1,8 3,13 3,36.5
0.638044397,8 3,14 3,37
1,9 3,10 3,35.5
0.017201455,9 3,11 3,36
0.651272212,9 3,12 3,36.5
0.39997674,9 3,13 3,37
0.783370824,9 3,14 3,37.5
0.059318589,10 3,11 3,36.5
0.709890682,10 3,12 3,37
0.463864919,10 3,13 3,37.5
0.869794795,10 3,14 3,38
0.711348862,11 3,12 3,37.5
1,11 3,13 3,38
0.584620276,11 3,14 3,38.5
0.965753333,12 3,13 3,38.5
1,12 3,14 3,39
0.750331068,13 3,14 3,39.5
0.720161053,-4 1,-5 1,1.5
0.886007277,-3 1,-5 1,2
0.698332343,-2 1,-5 1,2.5
0.908094965,-1 1,-5 1,3
1,0 1,-5 1,3.5
1,1 1,-5 1,4
1,2 1,-5 1,4.5
1,3 1,-5 1,5
1,4 1,-5 1,5.5
0.969724897,5 1,-5 1,6
1,6 1,-5 1,6.5
0.058286942,7 1,-5 1,7
1,8 1,-5 1,7.5
0.887827215,9 1,-5 1,8
0.510753157,10 1,-5 1,8.5
0.889650892,11 1,-5 1,9
1.42E-04,12 1,-5 1,9.5
0.371813907,13 1,-5 1,10
1,14 1,-5 1,10.5
0.008844097,-5 3,-5 1,11
1,-3 1,-4 1,2.5
0.060368495,-2 1,-4 1,3
0.443080933,-1 1,-4 1,3.5
0.789827139,0 1,-4 1,4
0.759626171,1 1,-4 1,4.5
0.551343497,2 1,-4 1,5
0.761186511,3 1,-4 1,5.5
0.727587878,4 1,-4 1,6
0.481471342,5 1,-4 1,6.5
0.667508081,6 1,-4 1,7
0.692623937,7 1,-4 1,7.5
0.843430555,8 1,-4 1,8
1,9 1,-4 1,8.5
1,10 1,-4 1,9
1,11 1,-4 1,9.5
3.41E-04,12 1,-4 1,10
0.816188914,13 1,-4 1,10.5
0.64066829,14 1,-4 1,11
0.829697938,-4 3,-4 1,12
0.399156836,-2 1,-3 1,3.5
0.5783303,-1 1,-3 1,4
1,0 1,-3 1,4.5
0.987800019,1 1,-3 1,5
0.684148702,2 1,-3 1,5.5
0.989829049,3 1,-3 1,6
0.911829414,4 1,-3 1,6.5
0.604949144,5 1,-3 1,7
0.819545408,6 1,-3 1,7.5
0.557029353,7 1,-3 1,8
1,8 1,-3 1,8.5
1,9 1,-3 1,9
0.791449515,10 1,-3 1,9.5
1,11 1,-3 1,10
3.13E-04,12 1,-3 1,10.5
0.653950504,13 1,-3 1,11
0.784979938,14 1,-3 1,11.5
0.773785172,-3 3,-3 1,13
1,-1 1,-2 1,4.5
0.616937481,0 1,-2 1,5
0.634128693,1 1,-2 1,5.5
0.895144429,2 1,-2 1,6
0.632828806,3 1,-2 1,6.5
0.668879203,4 1,-2 1,7
1,5 1,-2 1,7.5
0.729082409,6 1,-2 1,8
2.58E-04,7 1,-2 1,8.5
0.590680318,8 1,-2 1,9
0.398338613,9 1,-2 1,9.5
8.28E-04,10 1,-2 1,10
0.400798329,11 1,-2 1,10.5
0.418448103,12 1,-2 1,11
1.89E-04,13 1,-2 1,11.5
0.745726256,14 1,-2 1,12
1.74E-04,-2 3,-2 1,14
0.793075224,0 1,-1 1,5.5
0.821228828,1 1,-1 1,6
1,2 1,-1 1,6.5
0.822915706,3 1,-1 1,7
0.871581431,4 1,-1 1,7.5
1,5 1,-1 1,8
0.991862247,6 1,-1 1,8.5
1.46E-04,7 1,-1 1,9
0.738114284,8 1,-1 1,9.5
0.574781064,9 1,-1 1,10
0.017312447,10 1,-1 1,10.5
0.579518242,11 1,-1 1,11
0.032254652,12 1,-1 1,11.5
0.002206131,13 1,-1 1,12
1,14 1,-1 1,12.5
1,-1 3,-1 1,15
1,1 1,0 1,6.5
0.993899621,2 1,0 1,7
1,3 1,0 1,7.5
1,4 1,0 1,8
0.845163037,5 1,0 1,8.5
1,6 1,0 1,9
0.326045482,7 1,0 1,9.5
1,8 1,0 1,10
1,9 1,0 1,10.5
0.577144793,10 1,0 1,11
1,11 1,0 1,11.5
2.26E-04,12 1,0 1,12
0.457447906,13 1,0 1,12.5
1,14 1,0 1,13
0.125994186,0 3,0 1,16
1,2 1,1 1,7.5
1,3 1,1 1,8
1,4 1,1 1,8.5
0.873371738,5 1,1 1,9
1,6 1,1 1,9.5
0.254915774,7 1,1 1,10
1,8 1,1 1,10.5
0.99594118,9 1,1 1,11
0.552476006,10 1,1 1,11.5
0.997986933,11 1,1 1,12
1.98E-04,12 1,1 1,12.5
0.430378855,13 1,1 1,13
1,14 1,1 1,13.5
0.69976678,1 3,1 1,17
1,3 1,2 1,8.5
1,4 1,2 1,9
1,5 1,2 1,9.5
1,6 1,2 1,10
0.002355001,7 1,2 1,10.5
0.913702394,8 1,2 1,11
0.685554005,9 1,2 1,11.5
0.325377128,10 1,2 1,12
0.694046649,11 1,2 1,12.5
0.004767386,12 1,2 1,13
0.01636318,13 1,2 1,13.5
1,14 1,2 1,14
0.475111987,2 3,2 1,18
1,4 1,3 1,9.5
0.875165722,5 1,3 1,10
1,6 1,3 1,10.5
0.268692363,7 1,3 1,11
1,8 1,3 1,11.5
1,9 1,3 1,12
0.558173541,10 1,3 1,12.5
1,11 1,3 1,13
1.99E-04,12 1,3 1,13.5
0.431262892,13 1,3 1,14
1,14 1,3 1,14.5
1,3 3,3 1,19
0.915579221,5 1,4 1,10.5
1,6 1,4 1,11
0.099821969,7 1,4 1,11.5
1,8 1,4 1,12
